pub,label,doi
http://info.deepcarbon.net/individual/fcead655-8446-4a61-949e-13b15a9c9efb,Acoustic properties of Kel F-800 copolymer up to 85 GPa,10.1063/1.4731706
http://info.deepcarbon.net/individual/df28c2a16-65f6-4da7-a28a-607adb994f68,LONSDALEITE A HEXAGONAL POLYMORPH OF DIAMOND,10.1038/214587a0
http://info.deepcarbon.net/individual/dc7430b2f-1f04-4abc-b955-161841594019,Plume-related mafic volcanism and the deposition of banded iron formation,10.1029/1999JB900066
http://info.deepcarbon.net/individual/dbefa761f-af37-4678-8c88-5d10b9383219,Partially collapsed cristobalite structure in the non molecular phase V in CO2,10.1073/pnas.1118791109
http://info.deepcarbon.net/individual/ef5d2d67-3441-431f-bd5b-aecb2484b4ef,���Follow the Water���: Steve Squyres and the Mars Exploration Rovers,10.1016/j.jfranklin.2010.05.007
http://info.deepcarbon.net/individual/038a85f3-49c7-49b1-a3f4-9d593d88b6ef,Comparative Study of Subseafloor Microbial Community Structures in Deeply Buried Coral Fossils and Sediment Matrices from the Challenger Mound in the Porcupine Seabight,10.3389/fmicb.2011.00231
http://info.deepcarbon.net/individual/cc638c38-888f-445a-ad6e-f89675db7acf,The Syabru-Bensi hydrothermal system in central Nepal: 1. Characterization of carbon dioxide and radon fluxes,10.1002/2013JB010301
http://info.deepcarbon.net/individual/d928643ea-2566-4b10-a1d3-97b08fae712b,Raman study of phase transitions in compressed methane using moissanite anvil cells,10.1103/PhysRevB.84.104110
http://info.deepcarbon.net/individual/d91baf08-cd3a-4029-9a77-e9ccd91ca332,Heat Capacities at Low Temperatures and Entropies at 298.16��K. of Crystalline Calcium and Magnesium Aluminates,10.1021/j150525a005
http://info.deepcarbon.net/individual/5c0fadc4-fef0-467e-8197-8428bbe755f4,High Temperature Heat Contents of Calcium and Magnesium Ferrites,10.1021/ja01635a006
http://info.deepcarbon.net/individual/dc8571e86-eb10-4892-a61f-01a6179f4187,H/D methane isotopologues dissolved in magmatic fluids: Stable hydrogen isotope fractionations in the Earth's interior,10.2138/am.2013.4419
http://info.deepcarbon.net/individual/dee6fc61-f75f-43a8-9c21-ee02afc7fb19,"Sunxiuqinia faeciviva sp. nov., a facultatively anaerobic organoheterotroph of the Bacteroidetes isolated from deep subseafloor sediment",10.1099/ijs.0.044065-0
http://info.deepcarbon.net/individual/d2e9fcc01-cedc-4eeb-82cc-09a2dcd60bc1,Direct evidence of late Archean to early Proterozoic anoxic atmosphere from a product of 2.5 Ga old weathering,10.1016/S0012-821X(00)00344-7
http://info.deepcarbon.net/individual/f246b4aa-0ad2-4aeb-ab8f-47dff0cdf18e,Bubbles matter: An assessment of the contribution of vapor bubbles to melt inclusion volatile budgets,10.2138/am-2015-5036
http://info.deepcarbon.net/individual/n7520,In Situ Investigation of Geobacillus Stearothermophilus Spore Germination and Inactivation Mechanisms under Moderate High Pressure,10.1016/j.fm.2014.01.007
http://info.deepcarbon.net/individual/4021a397-db3a-4545-b633-ddae8e3b6f4d,In situ investigation of Geobacillus stearothermophilus spore germination and inactivation mechanisms under moderate high pressure,10.1016/j.fm.2014.01.007
